family,logp,Lq,Lq*,approx_gap,amort_gap,infer_gap
qFFG_small,-97.35775756835938,-110.34611892700195,-97.08745574951172,-0.27030181884765625,13.258663177490234,12.988361358642578
qFlow_small,-96.32057189941406,-105.53097534179688,-96.2038937886556,-0.11667811075845691,9.32708155314127,9.210403442382812
qCFlow_small,-95.16216659545898,-102.19713973999023,-95.65536626180013,0.4931996663411411,6.541773478190109,7.03497314453125
