model_family,q_star,logp,Lq,Lq_star,approx_gap,amort_gap,infer_gap
FFG,FFG,-86.68121337890625,-90.51344299316406,-87.56862907409668,0.8874156951904268,2.9448139190673857,3.8322296142578125
FFG,Flow,-86.68121337890625,-90.51344299316406,-86.92183151245118,0.24061813354492756,3.591611480712885,3.8322296142578125
Flow,FFG,-89.50225067138672,-91.62744140625,-90.10332946777343,0.6010787963867159,1.5241119384765653,2.1251907348632812
Flow,Flow,-89.50225067138672,-91.62744140625,-89.93815765380859,0.4359069824218693,1.689283752441412,2.1251907348632812
