family,variant,epoch,grad_norm_enc,grad_norm_dec,kl_loss,recon_loss
Gaussian,standard,1,84.03350639444933,21.738067343290936,93.4226841208523,-205.55580171694888
Gaussian,standard,2,94.73276006946686,19.891829555731086,90.99017027344532,-140.4129756854287
Gaussian,standard,3,97.41531825929816,20.72695742385474,80.3586914859601,-128.55325727320428
Gaussian,standard,4,88.62340967792437,20.40141569068437,70.21744835859677,-120.99001335843539
Gaussian,standard,5,96.13930124311305,21.79285991725637,62.585475685754055,-115.75794585173064
Gaussian,standard,6,97.65463943725456,22.757390858013746,57.298978427325736,-111.61218809115607
Gaussian,standard,7,94.08189759325626,22.98220282068639,53.1444824885712,-107.89842389234856
Gaussian,standard,8,94.6083541129952,23.69461894899543,49.421465867618,-105.12866617621644
Gaussian,standard,9,99.91421597446205,24.87300500076717,46.213132760672174,-102.91178288083594
Gaussian,standard,10,101.71599573570528,25.43186888867604,44.135078137363195,-100.97328757019693
Gaussian,standard,11,100.30996397055034,25.666889583124025,42.94827385192741,-99.16896623233234
Gaussian,standard,12,101.35781639522072,26.266436426370127,41.94437573967712,-97.79030993854059
Gaussian,standard,13,104.4577342848788,27.186212822318332,41.20206977665297,-96.80682129849757
Gaussian,standard,14,107.38411004609391,27.926342744562927,40.46988136275237,-96.05484134861148
Gaussian,standard,15,106.75972839713351,28.391300728071982,39.74188262516502,-95.36422181281962
Gaussian,standard,16,105.9291047866919,28.701895713806152,39.080961154213846,-94.82034111429634
Gaussian,standard,17,112.10695447698076,29.84801817855347,38.42181211849774,-94.61298101136425
Gaussian,standard,18,107.46415935752235,29.64866148739227,37.75402746220896,-94.11807400636327
Gaussian,standard,19,110.41389744317354,30.25859217857247,37.22530355229815,-93.9567354523551
Gaussian,standard,20,114.66126523699079,31.101351941318146,36.69221487228296,-93.84576515246556
Gaussian,standard,21,112.16355882168833,31.214314794235392,36.143419111207095,-93.57162688688429
Gaussian,standard,22,117.80851092877418,32.077158122682874,35.655282388618,-93.58288899566065
Gaussian,standard,23,112.33791576621375,31.955914479074703,35.19145837470667,-93.33607037997703
Gaussian,standard,24,117.8731999021095,32.62532969476826,34.70581351160241,-93.3474014298494
Gaussian,standard,25,115.80761025353536,32.6242951391094,34.23613727219832,-93.21474701610964
Gaussian,standard,26,117.13803024129318,33.12046549416809,33.791419350516314,-93.24241057438637
Gaussian,standard,27,120.6317202765296,33.712220663709175,33.35833159896102,-93.26140159330389
Gaussian,standard,28,119.23858862187562,33.82892979538517,32.91349616386235,-93.31259072309872
Gaussian,standard,29,122.14776786202307,34.17332063199106,32.464525938542415,-93.30885693971028
Gaussian,standard,30,127.54769573333675,34.981574485551064,32.13136393174942,-93.48954291435193
Gaussian,standard,31,123.53708514475873,34.878777158285764,31.730983874436888,-93.49256529330191
Gaussian,standard,32,123.59262321244425,35.076409421241614,31.35244225743991,-93.52835619017513
Gaussian,standard,33,121.32602876284992,35.09150654725683,30.978853134204076,-93.58765565916927
Gaussian,standard,34,127.78535659074275,35.839371530740245,30.596933021220064,-93.77737871670266
Gaussian,standard,35,127.07953128936703,35.972106221896496,30.281787532733194,-93.8451508397995
Gaussian,standard,36,131.07336895501436,36.42310627487931,29.914270453869914,-93.97344946302077
Gaussian,standard,37,128.697523820629,36.41841338794114,29.59401476967818,-94.04304336840664
Gaussian,standard,38,130.9570239784875,37.06246058823966,29.266244375883645,-94.28241913557561
Gaussian,standard,39,131.37664422805884,37.03945715035965,28.93304094627722,-94.33050192241221
Gaussian,standard,40,130.42848231594192,37.074405517659464,28.606108724435508,-94.42441894758993
Gaussian,standard,41,135.5407980652506,37.78029470098044,28.322116986012407,-94.732648113389
Gaussian,standard,42,132.64217429984606,37.34053266480533,28.035601827381516,-94.70884919319072
Gaussian,standard,43,129.57850181725996,37.53067690070504,27.736344699412268,-94.84863165751703
Gaussian,standard,44,132.43278017023732,38.06700236151722,27.464290901541965,-95.11391767814978
Gaussian,standard,45,139.23701834932828,38.660512129126836,27.197945505317087,-95.29607284806177
Gaussian,standard,46,134.91816316128794,38.470073909393506,26.924407277788436,-95.4343649614086
Gaussian,standard,47,139.81985795726655,38.912142820703956,26.622142110552108,-95.66230098016734
Gaussian,standard,48,137.771768679751,38.83919671552776,26.38475196041278,-95.79078082997661
Gaussian,standard,49,133.0321496910632,38.52628188753433,26.123675222335848,-95.84212485762802
Gaussian,standard,50,137.35297575179956,39.08854916456666,25.888757933431595,-96.15599828691624
Gaussian,standard,51,136.43552177445466,39.13081173195259,25.807963106932164,-96.08511581095551
Gaussian,standard,52,136.2042052669566,38.76442796385873,25.74583583294964,-95.95598038630699
Gaussian,standard,53,138.47585554468606,39.02476548030178,25.734520963005927,-96.02644114707833
Gaussian,standard,54,137.99689159922,39.03119329399646,25.70081963976309,-95.8944107006862
Gaussian,standard,55,141.32248005328148,39.20752263831685,25.682104859016597,-95.89543897714188
Gaussian,standard,56,139.56884331286335,39.362456394919455,25.669410359884886,-95.87544605930222
Gaussian,standard,57,135.0094654026316,38.8745997699339,25.654483937505464,-95.70636783429046
Gaussian,standard,58,137.4990193950596,38.994596003469375,25.621661924349983,-95.69700622558594
Gaussian,standard,59,135.8708091524364,39.00344217052338,25.609644895931805,-95.66503402775031
Gaussian,standard,60,141.7910029933905,39.378816358570354,25.581315485907517,-95.67554585308409
Gaussian,standard,61,138.27267168122313,39.17335663370486,25.576468191167184,-95.60393897505966
Gaussian,standard,62,143.61317303948312,39.43046780893289,25.561522764437743,-95.61675658561528
Gaussian,standard,63,135.60020983600413,38.92695447275125,25.560197598390232,-95.40183545175645
Gaussian,standard,64,142.20410472650264,39.28097447149281,25.53952971297795,-95.48600657611513
Gaussian,standard,65,138.10169092271883,39.21907348876823,25.516920140557197,-95.37583159587022
Gaussian,standard,66,138.24253374274605,39.16339796997591,25.529069811042184,-95.302142015144
Gaussian,standard,67,142.45268908340032,39.47572794753605,25.51215747272028,-95.30645081737657
Gaussian,standard,68,138.55197681191126,39.130269009929734,25.47269398215483,-95.18951419269098
Gaussian,standard,69,140.60767235989763,39.458065000424256,25.48911258355895,-95.22667171909357
Gaussian,standard,70,136.2956626989694,39.19064160044005,25.44715871993921,-95.11839398544734
Gaussian,standard,71,137.39887248122616,39.08868697355551,25.448603996081648,-95.05973182304074
Gaussian,standard,72,141.54118121864954,39.38110882691991,25.469673388548244,-95.04852543812571
Gaussian,standard,73,139.7698536285205,39.44066379319376,25.457569305322316,-95.02617956783726
Gaussian,standard,74,139.6841038783222,39.26387718338956,25.4661421297964,-94.93031438733978
Gaussian,standard,75,138.56393339893202,39.44811668680675,25.463814190455846,-94.95540853959919
Gaussian,standard,76,139.99818526148033,39.34251306204399,25.43832338898421,-94.92918631059528
Gaussian,standard,77,141.3514496776849,39.71028264092484,25.439223747009407,-94.97656384205767
Gaussian,standard,78,140.1031164157111,39.60512002648067,25.43890692786113,-94.81721705617682
Gaussian,standard,79,140.6580723109784,39.53298392224668,25.44693650365638,-94.80630132841911
Gaussian,standard,80,141.32849247165834,39.66397295221845,25.41612507590353,-94.80698899877096
Gaussian,standard,81,138.17450070737013,39.44175843236797,25.41998659268117,-94.67387806581281
Gaussian,standard,82,139.1036181826073,39.52529155674265,25.400129285702572,-94.65463495966213
Gaussian,standard,83,138.0820303390275,39.36873424383623,25.41677637242559,-94.58595894038804
Gaussian,standard,84,138.07976730444284,39.536769694102595,25.42272547008132,-94.60595395671787
Gaussian,standard,85,139.75311948698976,39.57970862195436,25.393162076661326,-94.54695232692303
Gaussian,standard,86,137.77641851917258,39.51739488939232,25.375632977434822,-94.49949759054286
Gaussian,standard,87,138.9410174924936,39.601038424445115,25.390767585494117,-94.53227806497993
Gaussian,standard,88,141.16841193811217,39.67383727335981,25.375083158773656,-94.49842374919574
Gaussian,standard,89,144.5046585668633,39.99683810602119,25.403150798415325,-94.4819235811864
Gaussian,standard,90,138.09010003421352,39.74530008962668,25.38953658105976,-94.43224193190714
Gaussian,standard,91,138.23132925297915,39.759739225098826,25.368320304447654,-94.41969039851922
Gaussian,standard,92,141.47300798298198,39.753244188548656,25.377108665417506,-94.33617975361058
Gaussian,standard,93,140.65821530925695,39.969972596239685,25.37518434788881,-94.3762982415238
Gaussian,standard,94,137.31726050224387,39.65209367381993,25.373079749312737,-94.30555660841561
Gaussian,standard,95,142.13338332999743,40.0471102484762,25.373727515816434,-94.27527794095754
Gaussian,standard,96,137.1113685819386,39.63512160173103,25.370691460078714,-94.19547420574912
Gaussian,standard,97,143.08407692817738,39.86360073902968,25.374138152929767,-94.2285157226042
Gaussian,standard,98,135.76722323614905,39.64338749151494,25.373579539723995,-94.12415737485581
Gaussian,standard,99,140.27542904038418,39.84877788893449,25.36509699912976,-94.13141767099214
Gaussian,standard,100,141.88598924811714,40.05702741212174,25.375962885712255,-94.15074664443287
Gaussian,standard,101,143.5104215170529,40.023096076461044,25.392245864054797,-94.11288879980157
Gaussian,standard,102,139.69618663503164,39.694294049033225,25.36658063168719,-94.00948059635121
Gaussian,standard,103,139.97779434627054,39.99254596360457,25.364459438364644,-94.07810738244291
Gaussian,standard,104,143.64514265487443,40.123395317907274,25.365953650810063,-94.08053853211881
Gaussian,standard,105,142.299975860856,40.130778339117576,25.369496365854225,-94.06211652938745
Gaussian,standard,106,144.90370834610863,40.297632729829246,25.373790252945824,-94.08945093378584
Gaussian,standard,107,139.05040077258275,39.78809741819337,25.358628268943413,-93.87374072695083
Gaussian,standard,108,139.29189194799233,39.92475760974355,25.35296789872875,-93.88770880627987
Gaussian,standard,109,140.31983086396892,40.030946798670264,25.40982779561838,-93.90589349254617
Gaussian,standard,110,138.19277911806412,39.930705245369786,25.356622913498867,-93.84923916229053
Gaussian,standard,111,141.3587709113733,40.30288488066781,25.371363745569422,-93.92379518358437
